,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,M,epochs,n_folds,uplift_factor,truth,truth_stderr
0,0,-0.0440544475736671,0.226779810713484,-0.174905767292979,1.454203681711948,-0.011788987,0.0024125313,500,1000,3,500,500,3,-1.0,-0.0183236530298708,0.0118257256272102
0,0,-0.0376182920489239,0.206120726483335,-0.1668605686323275,1.47525410380309,-0.031699177,0.0019357692,500,1000,3,500,500,3,-1.0,-0.0171963475770353,0.0120648685609026
0,0,-0.0227360919109379,0.2316070733607101,-0.1312704458369408,1.5164303168730209,-0.029939162,0.002992877,500,1000,3,500,500,3,-1.0,-0.0168720700972286,0.0119003858949209
0,0,-0.0172970917569757,0.2206349675079005,-0.228863421448872,1.509210579705638,0.000113557246,0.0017422885,500,1000,3,500,500,3,-1.0,-0.0169210951102991,0.012080559768222
0,0,-0.0085790883585014,0.2158924772682169,-0.0102641780471315,1.499372614461365,-0.003673398,0.0024479826,500,1000,3,500,500,3,-1.0,-0.0133146035378068,0.011934912020889
0,0,-0.0143415372055074,0.2524840499271185,-0.210714128758747,1.5200092974877124,-0.009586706,0.0033748262,500,1000,3,500,500,3,-1.0,-0.0204068477152236,0.0117413456186508
0,0,-0.000788840663997,0.2510508857592364,-0.1055601046222712,1.534397872315416,-0.011092509,0.00281479,500,1000,3,500,500,3,-1.0,-0.0146168028983217,0.0116303173302586
0,0,-0.0128936667526827,0.2356682013773294,-0.1121613015113068,1.4503327338308012,-0.013934337,0.0038067058,500,1000,3,500,500,3,-1.0,-0.0190000473556225,0.0116087232913254
0,0,-0.0079944696417411,0.2219128490961994,-0.1216591768505648,1.479058236521787,-0.014025598,0.0027550173,500,1000,3,500,500,3,-1.0,-0.0182790446624396,0.0116401922598174
0,0,-0.0010350000722251,0.2253268721497666,-0.0249323671108588,1.4867490507308592,-0.013079774,0.0043074624,500,1000,3,500,500,3,-1.0,-0.0185381570360737,0.0117594984703109
0,0,0.0053138620393161,0.2559162114799203,-0.0632516890398939,1.575669086971011,-0.007872284,0.004294383,500,1000,3,500,500,3,-1.0,-0.017084166078585,0.0121666763023223
0,0,-0.0115333716115423,0.2392298636781912,-0.1584294473902274,1.5250318567976715,-0.01377816,0.0015637322,500,1000,3,500,500,3,-1.0,-0.0194701461987233,0.0118623802299364
0,0,-0.0131007187174194,0.2346108618688039,-0.1970205926454035,1.555064424569686,-0.017997557,0.0016419869,500,1000,3,500,500,3,-1.0,-0.0170146095710718,0.0114537193238773
0,0,-0.0055968424144667,0.2542226402807828,-0.1668914958389316,1.4411763237910526,-0.024516672,0.0026118727,500,1000,3,500,500,3,-1.0,-0.0165209879275112,0.0119113657673736
0,0,-0.0265813782416341,0.2301765639804615,0.0034841719766005,1.5698670011139515,-0.01844432,0.0025811142,500,1000,3,500,500,3,-1.0,-0.0151022947210907,0.0118060795966196
0,0,-0.0133413394630089,0.1872680596785488,-0.1629033645639822,1.5064788827673845,-0.009256075,0.0010881227,500,1000,3,500,500,3,-1.0,-0.0160546567463494,0.0119534743641204
0,0,-0.0071544198537812,0.2441316014684733,0.0253035280876062,1.5119225447354303,0.0032352253,0.0034543348,500,1000,3,500,500,3,-1.0,-0.0181141573029284,0.0121905277422225
0,0,0.0162826488481244,0.2045617639759396,-0.2496789488372263,1.3940570086581991,0.0027053058,0.0024498694,500,1000,3,500,500,3,-1.0,-0.0187017586478821,0.0117061377474484
0,0,0.0046651511260583,0.2385811507062273,-0.0567363687592377,1.448758870230747,-0.00868467,0.0015234313,500,1000,3,500,500,3,-1.0,-0.0182018701389005,0.0118567731114927
0,0,-0.0462081782809793,0.2258228072926317,-0.1422288608593868,1.6486260989991073,-0.031716567,0.0024083878,500,1000,3,500,500,3,-1.0,-0.0155429476596969,0.0125540728303706
0,0,-0.0229603268206641,0.2300559280480278,-0.1953095851382725,1.512437205070909,-0.032468338,0.003985234,500,1000,3,500,500,3,-1.0,-0.0183740297771169,0.0118871439092793
0,0,-0.0308282196002389,0.2299850650919099,-0.0776247093765782,1.5441268465671345,-0.038587816,0.0051026656,500,1000,3,500,500,3,-1.0,-0.0172909859349515,0.0117870962051912
0,0,-0.0374773485673939,0.2061237487760741,-0.0667784636051858,1.5158788036064847,-0.023133555,0.0020959012,500,1000,3,500,500,3,-1.0,-0.0172308317576505,0.0117714036096556
0,0,-0.0415927019797806,0.2336420538764043,-0.1397258713150131,1.480519182226251,-0.036096953,0.003211366,500,1000,3,500,500,3,-1.0,-0.0191674486901245,0.0118387960967698
0,0,-0.0276038761379653,0.2221191718973982,-0.1008065971238394,1.5043415140261172,-0.01831919,0.0028963143,500,1000,3,500,500,3,-1.0,-0.0154259347000343,0.0119487153292165
0,0,-0.0072903817634137,0.2261884341863822,-0.0072866908782555,1.439485109866895,-0.0014249807,0.0011853467,500,1000,3,500,500,3,-1.0,-0.0170022592722325,0.0117207141565308
0,0,-0.008891922634245,0.2164714834242619,-0.1199495692043038,1.4860339315797082,-0.017098613,0.0018851901,500,1000,3,500,500,3,-1.0,-0.0181474231727911,0.0118012540584856
0,0,0.0133961189320872,0.2224077499766172,-0.0233643932158921,1.5237627660868558,0.00026344726,0.0024883435,500,1000,3,500,500,3,-1.0,-0.0164705655430423,0.0117181028301387
0,0,-0.0158735305721393,0.2448180248453771,-0.1454947634229788,1.511286661001418,-0.029461741,0.0031601607,500,1000,3,500,500,3,-1.0,-0.0185446706449996,0.0119222764103126
0,0,-0.0156773470729252,0.2254685113669183,-0.1535796319444663,1.4282342588836685,-0.015220921,0.0018919857,500,1000,3,500,500,3,-1.0,-0.017857041708669,0.0115122661576758
0,0,0.0082694949554722,0.2092559452160785,-0.1573701698547089,1.4527893309814603,-0.006486246,0.0012203207,500,1000,3,500,500,3,-1.0,-0.0179601613028441,0.011672240511191
0,0,-0.0053155341883479,0.2123629660253456,-0.1956249021724648,1.4553627030967806,-0.009713347,0.002173079,500,1000,3,500,500,3,-1.0,-0.0179616927204986,0.0114454934090648
0,0,0.0055747077530442,0.2581426027728855,-0.0894458234591289,1.5289724625949574,-0.009505489,0.0026795184,500,1000,3,500,500,3,-1.0,-0.0189344141529611,0.0119774626011156
0,0,-0.0294069968190966,0.2297539480798464,0.0158425893127794,1.4229430255091826,-0.020931818,0.0032619033,500,1000,3,500,500,3,-1.0,-0.0182374753335621,0.0114492737444819
0,0,-0.0196585864389082,0.2270946541374384,-0.2025206449784697,1.510544458489374,-0.016400015,0.001445975,500,1000,3,500,500,3,-1.0,-0.0183596222969866,0.0116587596900872
0,0,-0.045464674088455,0.2247308635800267,0.0006644601046645,1.498616017095877,-0.029918164,0.0048424895,500,1000,3,500,500,3,-1.0,-0.021400962795037,0.0118709556736585
0,0,-0.0251115190490907,0.2036353677516606,-0.17773377255497,1.4503549155978408,-0.011700075,0.0024272325,500,1000,3,500,500,3,-1.0,-0.0171509178876444,0.0116121961443617
0,0,0.0014279126685959,0.2181263209294565,-0.0897654474302503,1.4587722560282004,-0.004547287,0.0020346746,500,1000,3,500,500,3,-1.0,-0.0182622185586429,0.011687231245597
0,0,-0.0362656612466533,0.2318838353271058,-0.1239418776342171,1.464495718722964,-0.008140967,0.0034804035,500,1000,3,500,500,3,-1.0,-0.0187476883327909,0.0116929265520969
0,0,-0.0092110950129266,0.2279996485319854,-0.1638141963363484,1.479953469472112,-0.005253754,0.0030235325,500,1000,3,500,500,3,-1.0,-0.0193091479582422,0.011768799583587
0,0,-0.0457653736960089,0.2272927840002681,-0.1126600308877595,1.489757766553521,-0.037819836,0.004202359,500,1000,3,500,500,3,-1.0,-0.0156073707556094,0.0116089556196013
0,0,-0.0144212971497408,0.232583099020924,-0.107121985770256,1.5341213002676963,-0.016967107,0.0017417409,500,1000,3,500,500,3,-1.0,-0.0171991214976534,0.0116914295665225
0,0,-0.0142249674814075,0.2462060678261418,-0.0648003381419935,1.5293027420405696,-0.017815428,0.0036119493,500,1000,3,500,500,3,-1.0,-0.0184294101433643,0.0119839290767612
0,0,0.0027171363034762,0.2348136079178834,-0.113352208245928,1.5083557645712682,0.0077545405,0.0017705038,500,1000,3,500,500,3,-1.0,-0.0186085240153108,0.0119453928625623
0,0,-0.0112571745021367,0.2264678425172527,-0.0084066639546377,1.492196326498775,-0.017297775,0.0027149778,500,1000,3,500,500,3,-1.0,-0.0159753203064807,0.0119457456456085
0,0,-0.0233752899797024,0.2343221363378804,-0.2107449685176151,1.4582911037875503,-0.02274979,0.0030100606,500,1000,3,500,500,3,-1.0,-0.020895770903505,0.0117253825809767
0,0,-0.0334805265953902,0.2484672077610479,-0.0208465585361173,1.46847516362713,-0.02046557,0.0027047482,500,1000,3,500,500,3,-1.0,-0.0177748741868855,0.0119294597565434
0,0,-0.0110192921312582,0.2194259680679785,-0.1065147011151462,1.3855531065242197,-0.021540591,0.0027264545,500,1000,3,500,500,3,-1.0,-0.0176977440877932,0.0112336301545326
0,0,-0.0400073032659398,0.2168060670979791,-0.0643463581521328,1.5342492461328492,-0.015998116,0.0025690792,500,1000,3,500,500,3,-1.0,-0.0180145774846769,0.011870900140537
0,0,-0.0222637454531128,0.2074742504836314,-0.1138858630974035,1.580433647187202,-0.0056682606,0.0025634838,500,1000,3,500,500,3,-1.0,-0.0168697934177018,0.0119653452937471
0,0,-0.000209143529793,0.2272716649097161,-0.0686689692390004,1.5527352604565632,0.004724556,0.003370963,500,1000,3,500,500,3,-1.0,-0.0155258693774692,0.0120165403384228
0,0,-0.0123668031977558,0.239267283511997,-0.1245924819508065,1.547728464715291,-0.016610362,0.0019391458,500,1000,3,500,500,3,-1.0,-0.0179115010448845,0.0119725094841343
0,0,-0.0171802805722155,0.2253996545872545,-0.1559109037796496,1.6229921908856686,-0.0030464123,0.0033860535,500,1000,3,500,500,3,-1.0,-0.0204003310711827,0.0117054147235514
0,0,-0.0205777835558301,0.2664126285549444,-0.2100886770963909,1.424124617097079,-0.009870405,0.0022410564,500,1000,3,500,500,3,-1.0,-0.0164155640432276,0.0116898707834234
0,0,0.0100802709111375,0.2026020339340499,-0.1218697563607384,1.410058527173537,0.009067081,0.003845647,500,1000,3,500,500,3,-1.0,-0.0164832696619484,0.0116274875768156
0,0,-0.0277905180681736,0.2442228988024149,-0.0269586077136362,1.464654071352259,-0.01299316,0.0025741914,500,1000,3,500,500,3,-1.0,-0.0178654795574245,0.0117280249163702
0,0,-0.0125760056534075,0.2089821668796877,-0.2504412451511392,1.4592705122339265,-0.009369423,0.001999535,500,1000,3,500,500,3,-1.0,-0.0161139163684611,0.0117628578040245
0,0,-0.0086113952673776,0.2370868997459552,-0.1414268571479237,1.4612280391816443,-0.008210946,0.0026746874,500,1000,3,500,500,3,-1.0,-0.0190377895326774,0.0113569225019177
0,0,-0.0348262280957199,0.2540489561730651,-0.1067354884334466,1.5497472400101358,-0.020944288,0.0019330323,500,1000,3,500,500,3,-1.0,-0.0189178366591729,0.0118612494644103
0,0,0.0129166572685016,0.2060146676750574,-0.0699494645783205,1.4463554397961884,0.008317143,0.0019525195,500,1000,3,500,500,3,-1.0,-0.0182330019843208,0.0114828376131328
0,0,-0.0083947079464468,0.2225921489783222,-0.0982468842619859,1.3513989877659578,-0.008455669,0.004223215,500,1000,3,500,500,3,-1.0,-0.0170050110039159,0.0118019806285513
0,0,-0.0165645936608236,0.2115722440084275,-0.184800446605499,1.4692819100684702,-0.0057922364,0.0032112235,500,1000,3,500,500,3,-1.0,-0.0165045739300786,0.0121438281344338
0,0,-0.0315061602237648,0.2285678865727126,-0.0335926233452764,1.5543571873927569,-0.012430382,0.0032846874,500,1000,3,500,500,3,-1.0,-0.0166290881200674,0.0116791610320028
0,0,-0.0092948878821197,0.2394546313154843,-0.2367283207142777,1.4648419389043883,-0.011737687,0.0024704135,500,1000,3,500,500,3,-1.0,-0.0173775687083591,0.0118289259254072
0,0,-0.0297900870157119,0.215843271630385,-0.1108008032113969,1.47831634141624,-0.010523831,0.002690662,500,1000,3,500,500,3,-1.0,-0.0202397685190294,0.0119193649482698
0,0,-0.0293001170348118,0.2219617961063494,-0.1105019983751021,1.4127660975253835,-0.01693166,0.0017449073,500,1000,3,500,500,3,-1.0,-0.0165570018527627,0.0113242121207034
0,0,-0.029238717688703,0.2441514763827843,-0.157166833176702,1.4969651831193589,-0.028858503,0.0025007047,500,1000,3,500,500,3,-1.0,-0.017469906766799,0.0117529595042386
0,0,-0.0080384004933886,0.2209401780737235,-0.1301262073120808,1.5273774318862043,-0.008113238,0.0029556702,500,1000,3,500,500,3,-1.0,-0.0172902000273489,0.01128495170349
0,0,-0.022775823448917,0.2265255207629494,-0.1118513696756432,1.5243278290408246,-0.017948927,0.001871421,500,1000,3,500,500,3,-1.0,-0.0196595037635352,0.0117799376264623
0,0,0.003055996808751,0.2036610814001226,-0.1180248856738526,1.557435949340303,-0.011499186,0.0016496954,500,1000,3,500,500,3,-1.0,-0.0185211613045995,0.011519930700698
0,0,-0.0057337418290675,0.2390225144278004,-0.1358616860883277,1.5343837561084743,0.0051753325,0.0025419432,500,1000,3,500,500,3,-1.0,-0.0170112190621426,0.0117507678790461
0,0,-0.0345372350620621,0.2465567264958788,-0.1933506586044964,1.5495291125188555,-0.034700383,0.0034325663,500,1000,3,500,500,3,-1.0,-0.0191338775811484,0.0121673986916898
0,0,-0.0187165401571019,0.2603763875737959,-0.2663002876446684,1.4887753120244716,0.00030056707,0.001512223,500,1000,3,500,500,3,-1.0,-0.0186928049415543,0.0121151884616906
0,0,-0.0197526625685151,0.2228554284980971,-0.0862432436603873,1.546172123674149,-0.010612461,0.0027879318,500,1000,3,500,500,3,-1.0,-0.0181485568509137,0.0120977344002719
0,0,-0.0298716593349182,0.2074151608838028,-0.0722982268385977,1.5350489688742417,-0.022294002,0.0036328677,500,1000,3,500,500,3,-1.0,-0.016827586996915,0.0116050791943544
0,0,-0.0203524017363842,0.2177353331161017,-0.107026061006424,1.4721957637988996,-0.011223764,0.0025674924,500,1000,3,500,500,3,-1.0,-0.0165490254662328,0.0117300106644759
0,0,-0.0198850775505428,0.2404910924757395,-0.1114690995565206,1.6342105942444969,-0.01395313,0.0019452564,500,1000,3,500,500,3,-1.0,-0.0193523641197346,0.0119403955482062
0,0,-0.0152683646054104,0.2129982370263259,-0.1351396128965117,1.453472057482826,-0.00011261832,0.002666177,500,1000,3,500,500,3,-1.0,-0.0196111377444322,0.0116841310254493
0,0,-0.0300885519890101,0.1723886676697706,-0.1701953014514536,1.3841860469673983,-0.010055103,0.0014701333,500,1000,3,500,500,3,-1.0,-0.015244186043313,0.0110476526936916
0,0,-0.0225130316307917,0.2370884009240096,-0.2822249063911354,1.475117344748292,-0.018517481,0.0041144085,500,1000,3,500,500,3,-1.0,-0.0148732897087223,0.0117520786249199
0,0,0.0100908035749553,0.2120577616995529,-0.0943327308007127,1.5980307212889957,-0.0054815207,0.0025317222,500,1000,3,500,500,3,-1.0,-0.0159381076130503,0.0122015484815539
